source,target,relation,similarity
"""草原""","""园地""","""园地是农田生态系统的一个子类型。""
""园地属于农田生态系统的子类。""",0.8598292469978333
"""草丛""","""草甸""","""草甸是草地生态系统的一个子类型。""
""草甸属于草地生态系统的子类。""",0.9674687385559082
"""稀疏草地""","""稀疏灌丛""","""稀疏灌丛属于灌丛生态系统的子类。""
""稀疏灌丛是灌丛生态系统的一个子类型。""",0.9342472553253174
"""湿地生态系统""","""灌丛生态系统""","""阔叶灌丛是灌丛生态系统的一个子类型。""
""阔叶灌丛属于灌丛生态系统的子类。""",0.9311095476150513
"""湿地生态系统""","""湿地生态系统野外观测""","《全国生态状况调查评估技术规范》是一套涵盖多领域生态调查评估的标准化文件体系，其中明确包含针对草地生态系统野外观测的技术标准与操作规范。该规范体系将草地生态观测作为重要组成部分，通过统一的技术标准指导野外数据采集、监测流程及评估方法，确保全国范围内草地生态观测数据的科学性和可比性。两份描述均指向规范对草地观测的标准化覆盖，不存在实质矛盾，仅存在表述差异（""包含标准""与""包含技术标准""），实际指向同一核心内容——即该规范为草地野外观测提供了系统化的技术框架。",0.9174079298973083
"""沼泽""","""稀疏灌丛""","""稀疏灌丛属于灌丛生态系统的子类。""
""稀疏灌丛是灌丛生态系统的一个子类型。""",0.9203367829322815
"""沼泽""","""灌丛""","""森林和灌丛都是生态系统类型，具有不同的植被覆盖度和植被覆盖因子。""",0.9062134623527527
"""湖泊""","""稀疏灌丛""","""稀疏灌丛属于灌丛生态系统的子类。""
""稀疏灌丛是灌丛生态系统的一个子类型。""",0.8263036608695984
"""湖泊""","""草甸""","""草甸是草地生态系统的一个子类型。""
""草甸属于草地生态系统的子类。""",0.7771158218383789
"""河流""","""稀疏灌丛""","""稀疏灌丛属于灌丛生态系统的子类。""
""稀疏灌丛是灌丛生态系统的一个子类型。""",0.7889169454574585
"""农田生态系统""","""灌丛生态系统""","""阔叶灌丛是灌丛生态系统的一个子类型。""
""阔叶灌丛属于灌丛生态系统的子类。""",0.936598539352417
"""农田生态系统""","""荒漠生态系统""","""沙漠是荒漠生态系统的一个子类型。""
""沙漠属于荒漠生态系统的子类。""",0.8148935437202454
"""耕地""","""稀疏草地""","""稀疏草地属于草地生态系统的子类。""
""稀疏草地是草地生态系统的一个子类型。""",0.9245625138282776
"""耕地""","""草丛""","""草丛属于草地生态系统的子类。""
""草丛是草地生态系统的一个子类型。""",0.9144038558006287
"""园地""","""稀疏草地""","""稀疏草地属于草地生态系统的子类。""
""稀疏草地是草地生态系统的一个子类型。""",0.9250633716583252
"""城镇生态系统""","""灌丛生态系统""","""阔叶灌丛是灌丛生态系统的一个子类型。""
""阔叶灌丛属于灌丛生态系统的子类。""",0.8206239938735962
"""城镇生态系统""","""生态功能区""","""生态系统质量评估在生态功能区内进行分区评估，以生态功能区为基本单位。""",0.8094983100891113
"""城市绿地""","""草甸""","""草甸是草地生态系统的一个子类型。""
""草甸属于草地生态系统的子类。""",0.7811920642852783
"""城市绿地""","""稀疏灌丛""","""稀疏灌丛属于灌丛生态系统的子类。""
""稀疏灌丛是灌丛生态系统的一个子类型。""",0.7764789462089539
"""荒漠生态系统""","""灌丛生态系统""","""阔叶灌丛是灌丛生态系统的一个子类型。""
""阔叶灌丛属于灌丛生态系统的子类。""",0.8722167015075684
"""荒漠生态系统""","""草地生态系统""",《全国生态状况调查评估技术规范》是由中国生态环境部发布的一项综合性技术标准体系，其中包含编号为HJ 1168—2021的专项标准。该标准作为技术规范系列的重要组成部分，专门针对草地生态系统的野外观测工作制定了详细的技术要求和操作指南。通过将宏观规范框架与具体生态系统观测标准相结合，这一技术规范体系为全国生态状况调查评估提供了系统化的方法论支撑，尤其强调了草地生态系统这一关键领域的标准化观测实践。,0.8326537609100342
"""HJ 1170 全国生态状况调查评估技术规范""","""中国科学院生态环境研究中心""","""生态环境部与中国科学院生态环境研究中心合作起草本标准。""",0.7627608776092529
"""HJ 1170 全国生态状况调查评估技术规范""","""省级行政区域""","""HJ 1176—2021标准适用于省级行政区域的陆域生态系统评估。""",0.7538833618164062
"""生态系统服务""","""生态系统服务功能评估""","""生态系统是评估的对象，其服务功能通过标准方法进行评估。""",0.9161638021469116
"""生态系统服务""","""灌丛生态系统""","""针叶灌丛属于灌丛生态系统的子类。""
""针叶灌丛是灌丛生态系统的一个子类型。""",0.8078697323799133
"""水源涵养""","""防风固沙""","""REWQ is specifically designed for calculating sand fixation quantities.""
""REWQ模型用于计算固沙量。""",0.8032439947128296
"""土壤保持""","""土壤保持量""","""RUSLE is specifically designed for calculating soil conservation quantities.""
""RUSLE模型用于计算土壤保持量。""",0.9427148103713989
"""土壤保持""","""土壤可蚀性因子""","""侵蚀-生产力评价模型用于计算土壤可蚀性因子。""",0.7661096453666687
"""水源涵养量""","""水量平衡方程""","""水源涵养量的计算依赖于水量平衡方程这一技术方法。""",0.8453111052513123
"""土壤保持量""","""土壤可蚀性因子""","""降雨侵蚀力空间数据与土壤可蚀性因子共同用于评价土壤侵蚀的敏感程度。""",0.8374776244163513
"""土壤保持量""","""植被覆盖度""","""植被覆盖度作为核心指标被用于生态系统质量评估的计算过程。""",0.779446542263031
"""修正土壤流失方程""","""土壤可蚀性因子""","""降雨侵蚀力空间数据与土壤可蚀性因子共同用于评价土壤侵蚀的敏感程度。""",0.8467509746551514
"""国家重点保护野生物种名录""","""珍稀濒危物种数量""","""名录用于评估珍稀濒危物种数量的重要参考依据。""",0.8318197727203369
"""国家重点保护野生物种名录""","""珍稀濒危物种""","""This list is used for identifying rare and endangered species in China.""",0.7951500415802002
"""珍稀濒危物种数量""","""物种丰富度""","""HJ 1168是统计物种丰富度的参考标准之一。""
""HJ 1168 is one of the standards used for species richness investigation.""",0.7547042369842529
"""HJ 1168""","""HJ 1168—2021""",《全国生态状况调查评估技术规范》是由中国生态环境部发布的一项综合性技术标准体系，其中包含编号为HJ 1168—2021的专项标准。该标准作为技术规范系列的重要组成部分，专门针对草地生态系统的野外观测工作制定了详细的技术要求和操作指南。通过将宏观规范框架与具体生态系统观测标准相结合，这一技术规范体系为全国生态状况调查评估提供了系统化的方法论支撑，尤其强调了草地生态系统这一关键领域的标准化观测实践。,0.899802029132843
"""HJ 1168""","""HJ 1176—2021""","""生态环境部组织制订并批准了HJ 1176—2021标准。""",0.8841784596443176
"""HJ 1169""","""HJ 1168—2021""",《全国生态状况调查评估技术规范》是由中国生态环境部发布的一项综合性技术标准体系，其中包含编号为HJ 1168—2021的专项标准。该标准作为技术规范系列的重要组成部分，专门针对草地生态系统的野外观测工作制定了详细的技术要求和操作指南。通过将宏观规范框架与具体生态系统观测标准相结合，这一技术规范体系为全国生态状况调查评估提供了系统化的方法论支撑，尤其强调了草地生态系统这一关键领域的标准化观测实践。,0.8993539810180664
"""HJ 1169""","""HJ 1176—2021""","""生态环境部组织制订并批准了HJ 1176—2021标准。""",0.8938260078430176
"""HJ 1170""","""HJ 1170—2021""","""全国生态状况调查评估技术规范包含了HJ 1170—2021这一技术标准。""",0.8896875381469727
"""HJ 1170""","""HJ 1176—2021""","""生态环境部自然生态保护司发布《数据质量控制与集成》技术规范""",0.8883856534957886
"""防风固沙""","""防风固沙量""","""草地的防风固沙能力通过防风固沙量进行评价。""",0.9342637658119202
"""防风固沙""","""稀疏灌丛""","""稀疏灌丛属于灌丛生态系统的子类。""
""稀疏灌丛是灌丛生态系统的一个子类型。""",0.8615856170654297
"""物种丰富度""","""珍稀濒危物种数量""","""该联盟发布的红色名录是评估珍稀濒危物种数量的国际标准。""",0.7547042369842529
"""世界自然保护联盟红色名录""","""世界自然保护联盟""","""生态环境部制定并发布了该评估方案，作为全国生态调查的指导文件。""",0.8169053792953491
"""珍稀濒危物种""","""珍稀濒危物种数量""","""名录用于评估珍稀濒危物种数量的重要参考依据。""",0.9260872602462769
"""珍稀濒危物种""","""物种""","""物种的保护需求可能导致成本超出阈值，触发补偿机制。""",0.7974709272384644
"""Q_{SE\_A}""","""Q_{SE\_P}""","""Q_{se\_p} 和 Q_{se\_a} 是潜在和实际土壤侵蚀量的计算公式，相互关联。""",0.9546558856964111
"""Q_{SR}""","""Q_{SE\_P}""","""Q_{sr} 和 Q_{se\_p} 是土壤保持和潜在侵蚀的计算公式，相互关联。""",0.7800742387771606
"""Q_{SE\_P}""","""Q_{SE\_A}""","""Q_{se\_p} 和 Q_{se\_a} 是潜在和实际土壤侵蚀量的计算公式，相互关联。""",0.9546558856964111
"""SL_潜""","""SL""","""SL_潜与SL的差值用于计算SR，反映实际与潜在侵蚀量的差异。""",0.9468088150024414
"""SL""","""SL_潜""","""SR通过SL_潜与SL的差值计算得出，反映固沙效果。""",0.9468088150024414
"""不可替代性指数""","""生境不可替代性指数""","""Marxan模型用于计算生境不可替代性指数。""
""Marxan is specifically used for calculating habitat irreplaceability index.""",0.8623484373092651
"""规划单元""","""生态环境部""",中华人民共和国国家生态环境标准是由生态环境部发布并实施的一系列环境规范。作为中国环境保护领域的权威机构，生态环境部负责制定、颁布和执行这些国家标准，以确保环境保护工作的规范化和标准化。两份描述均明确指出生态环境部在该标准体系中的核心作用，即同时承担发布和实施双重职能，表述内容一致且互为补充，共同构成了对该标准制定体系的完整说明。,0.8719072937965393
"""规划单元""","""数据预处理""","""遥感生态参数和生态功能分区都是通过数据预处理从遥感数据和其他辅助信息中提取的，共同用于生态系统质量评估。""",0.8380339741706848
"""保护目标""","""防风固沙""","""REWQ is specifically designed for calculating sand fixation quantities.""
""REWQ模型用于计算固沙量。""",0.7507138252258301
"""保护优先区""","""保护目标""","""保护体系边界总长度修正值的调整是为了达到保护目标。""",0.8726637363433838
"""物种""","""国家一级物种""","""中国动物志用于统计国家一级物种的分布和数量，为保护评估提供数据支持。""",0.8158478140830994
"""物种""","""珍稀濒危物种""","""This list is used for identifying rare and endangered species in China.""",0.7974709272384644
"""运算""","""数据预处理""","""遥感生态参数和生态功能分区都是通过数据预处理从遥感数据和其他辅助信息中提取的，共同用于生态系统质量评估。""",0.8074679970741272
"""运算""","""像元二分模型""","""线性像元分解法中最常用的是像元二分模型，用于计算植被覆盖度。""",0.7924522161483765
"""保护需求""","""保护体系""","""保护体系由Marxan模型通过迭代运算生成，其边界长度是模型的重要参数。""",0.8144797682762146
"""不可替代性""","""不可替代性指数""","""Marxan模型利用不可替代性指数为评估单元赋值，以确定其保护价值。""",0.8140224814414978
